"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D2,D1,D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"LED";;;
2;"C_BME_VDDIO1,C_VDD_MPU1,C_MPU_REG1,C_BME_VDD1";"C_0805";4;"100n";;;
3;"C8,C10";"C_0805_2012Metric";2;"1u";;;
4;"R2";"R_0805_2012Metric";1;"DNF";;;
5;"R15,R16,R14";"R_0805";3;"10k";;;
6;"J7";"SAMESKY_UJ20-C-H-G-SMT-6-P16-TR";1;"UJ20-C-H-G-SMT-6-P16-TR";;;
7;"C1,C4,C17";"C_0805_2012Metric";3;"10u";;;
8;"R13,R12";"R_0805";2;"R";;;
9;"Y1";"Crystal_HC49-4H_Vertical";1;"Crystal";;;
10;"R_BME_SDA1,R_BME_SCL1,R_SAM_SDA1,R_MPU_SCL1,R_MPU_SDA1,R_SAM_SCL1";"R_0805";6;"2k7";;;
11;"C_VDDIO_MPU1";"C_0805";1;"10n";;;
12;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"Connector_3_Pol";;;
13;"R_BL2";"R_0805";1;"8k2";;;
14;"U1";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
15;"R3,R4";"R_0805_2012Metric";2;"27";;;
16;"C_SAM_VCCIO1,C_SAM_VCC1,C_SAM_VBCKP1";"C_0805";3;"C";;;
17;"R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"150";;;
18;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Connector_2_Pol";;;
19;"S2,S3,S1";"PTS810SJK250SMTRLFS";3;"PTS810SJK250SMTR_LFS";;;
20;"U2";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q128JVS";;;
21;"R10,R11";"R_0805";2;"150";;;
22;"R_BL1";"R_0805";1;"15k";;;
23;"C18";"C_0805";1;"10u";;;
24;"C6,C14,C13,C15,C7,C11,C12,C9,C5,C16";"C_0805_2012Metric";10;"100n";;;
25;"U5";"MPU-9250";1;"MPU-9250";;;
26;"R1,R5";"R_0805_2012Metric";2;"1k";;;
27;"J4";"Bornera_2_P5mm";1;"Terminal_2";;;
28;"U4";"PSON65P250X250X100-8N";1;"BME280";;;
29;"C2,C3";"C_0805_2012Metric";2;"15p";;;
30;"U3";"RP2040-QFN-56";1;"RP2040";;;
31;"J2";"693071010811";1;"503398-1892";;;
32;"U6";"MODULE_SAM-M8Q-0-10";1;"SAM-M8Q-0-10";;;
